PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,dataEditNotes
Dan Roby,Emailed,Project Data,marineBirds,731,Normal,1995,2000,,,USFWS,
Dan Roby,Emailed,Project Data,marineBirds,733,Normal,1998,2001,,,USFWS,
Julie Raymond-Yakoubian,Unrecoverable,Project Data - no info or report,fish,738,Normal,1989,1989,,no contact info,UAF,
Marc Romano,Replied,Project Data,marineBirds,740,High,1995,2000,,,USFWS,
John Thedinga,Replied,modeling data - jacek maselko,modeling,742,Normal,2001,2002,,,NOAA,
Dan Gillikin,Replied,Project Data,fish,744,Normal,1994,1999,,,FWS,
Mike Castellini,Replied,Access DB - Brian Fadely,mammals,748,Normal,1998,2001,,,UAF,
Dan Gillikin,Replied,Project Data,fish,753,Normal,1996,2002,,,FWS,
Dan Gillikin,Replied,Call dan at FS,fish,756,Normal,1996,1996,,,FWS,
Stephen Okkonen,Emailed,DATA: Okkonen dataset??,oceanography,761,Normal,2002,2006,,,ADFG,
Howard Ferren,Replied,PWSAC - fry release numbers? check fil report?,fish,762,Normal,1994,1997,,,PWS Aquaculture Association,
Mark Willette,Emailed,320-E: 1 - catches of various fish species in several types of nets,fish,766,Normal,1994,1999,,,ADFG,
Mark Willette,Replied,320-E: 3 - stomach contents of fish,fish,766,Normal,1994,1999,,,ADFG,
Mark Willette,Replied,320-E: 2 - lengths and weights of fish,fish,766,Normal,1994,1999,,,ADFG,
Mark Willette,Replied,320-E: 5 - zooplankton density and species composition estimated from nets,fish,766,Normal,1994,1999,,,ADFG,
Mark Willette,Replied,320-E: 6 - ocean temperature and salinity measurements,fish,766,Normal,1994,1999,,,ADFG,
Mark Willette,Replied,230-E: 4 - recoveries of tagged juvenile salmon,fish,766,Normal,1994,1999,,,ADFG,
Mark Willette,Emailed,Herring tal habitat data??,fish,769,Normal,1994,1998,,,ADFG,
Greg Ruggerone,Replied,project data,fish,772,Normal,1996,1996,,,PWSAC,
Ken Hodges,Unrecoverable,project data - origils lost,fish,773,Normal,1996,1998,,data lost,USFS,
Karen Murphy,Replied,dataset,modeling,776,Normal,1998,2000,,,USFWS,
Buddy Goatcher,Replied,"sampling locations, morphological measures, and banding data",marineBirds,778,Normal,1996,1998,,,Environmental Laboratory,
Buddy Goatcher,Replied,genetics data,marineBirds,778,Normal,1996,1998,,,Environmental Laboratory,
Tuula Holmen,Replied,project data,marineBirds,779,Normal,2008,2011,,,UAF,
Joanne Jellett,Unrecoverable,project data -origils lost,inverts,785,Normal,2000,2003,,data lost,Jellett Biotek Limited,
Lisa Seeb,Replied,Project Data at ADF&G -  follow-up bill templin,fish,786,Normal,1998,1999,,,UW,
Lisa Rotterman,Replied,project data,mammals,788,Normal,1992,1992,,,NOAA,
Lisa Seeb,Replied,Project Data at ADF&G - follow-up with Bill Templin,fish,789,Normal,1992,1994,,,UW,
Merav Ben-David,Unrecoverable,project data - refused,terrestrial,797,Normal,1998,2000,,requested funding,University of Wyming,
Graham Worthy,Unrecoverable,project data - origils lost,fish,798,Normal,1995,1995,,data lost,University of Central Florida,
Catherine Berg,Unrecoverable,dataset - Originals lost,marineBirds,799,Normal,1992,1992,,data lost,DOI,
Ted Otis,Replied,Follow-up with Ted about locating data,fish,803,Normal,1999,2001,,,ADFG,
Vernon Byrd,Unrecoverable,No info,terrestrial,805,Normal,1994,1994,,no contact info,ANMWR,
Vernon Byrd,Unrecoverable,no info,marineBirds,807,Normal,1989,1992,,no contact info,ANMWR,
Vernon Byrd,SentData,hydrocarbon database,marineBirds,807,Low,1989,1992,,,ANMWR,
Nora Foster,Unrecoverable,project data - origils lost,inverts,809,Normal,2002,2003,,data lost,UAF,
John Whitney,Replied,project data,habitat,811,Normal,1999,1999,,,NOAA,
Dan Esler,Replied,data is with EVOSTC,marineBirds,812,Normal,1999,2000,,,EVOS,
