PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,category,
Dan Rosenberg,Replied,Project Data - June Follow-up,marineBirds,686,High,1998,2001,,,ADFG,,,
Da Schmidt,Emailed,Kei Peninsula Data,fish,610,Normal,1990,1997,,,ADFG,,,
Da Schmidt,Unrecoverable,kodiak hydroacoustic + townet surveys of juvenile salmon,fish,610,Normal,1990,1997,,data uvailable,ADFG,,,
Daniel Huttunen,Unrecoverable,FS20 Dataset - no info,oil,1231,Normal,1989,1989,,no contact info,State of Alaska,,,
Dave Crowley,Unrecoverable,Harlequin breeding data - fil report,marineBirds,486,Normal,1991,1993,,non digital,ADFG,,,
Dave Erikson,Emailed,project data,habitat,941,Normal,1999,1999,,,URS,,,
Dave Eslinger,Replied,Project Data,modeling,299,Normal,1996,1999,,,NOAA,,,
Dave Roseneau,Unrecoverable,"1998, 2001 population census - leslie slater sent fil report",marineBirds,518,Normal,1996,2002,,non digital,USFWS,,,
Dave Roseneau,Emailed,survey results of community interest - no report,fish,1036,Normal,2002,2003,,,USFWS,,,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,523,Normal,1993,1995,,non digital,USFWS,,,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,520,Normal,1995,2000,,non digital,USFWS,,,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all data available is in fil reports,fish,527,Normal,1995,2000,,no contact info,USFWS,,,
David Evans,Replied,Project Data,fish,567,Normal,1989,1992,,,ADFG,,,
David Irons,Replied,Project Data,marineBirds,643,Low,1995,1995,,,USFWS,,,
David Irons,Replied,Kirsten Bixler getting data from thesis,marineBirds,433,High,2007,2007,,,USFWS,,,
David Nysewander,Unrecoverable,Other islands - Leslie provided fil reports,marineBirds,513,Normal,1989,1991,,non digital,WDFG,,,
David Nysewander,Unrecoverable,Arthur Kettle responded all data available is in fil reports,marineBirds,513,Normal,1989,1991,,non digital,WDFG,,,
David Scheel,Replied,#320-Y - Dataset,fish,1189,Normal,1995,1998,,,Alaska Pacific U.,,,
David Scheel,Replied,#009-D: Dataset,inverts,1192,Normal,1995,1997,,,Alaska Pacific U.,,,
David Scheel,Replied,Program planning data?,dataMgmt,1121,Normal,1994,1994,,,Alaska Pacific U.,,,
Day,Published,,oceanography,,,1997,2001,oceanography,,ABR Inc,,,
Day,Published,,marineBirds,,,1997,2001,winter surveys,,ABR Inc,,,
Day,Published,,inverts,,,2004,2004,infau inverts,,ABR Inc,,,
Dean,Published,,fish,,,1990,1995,,,UAF,,,
Dia Stram,Replied,#671-dataset,oceanography,968,High,2002,2002,,,NOAA,,,
Dianne Lyles,Unrecoverable,062 Dataset - no info,habitat,1227,Normal,1992,1993,,no contact info,ADNR,,,
Dianne Munson,Unrecoverable,"Dianne Munson: Shoreline Assessment and Oil Removal near Chenega Bay in Prince William Sound, Alaska: 1994",oil,336,Normal,1994,1994,,data lost,ADEC (state),,,
Dick Thorne,Replied,Acoustic Dataset,fish,317,Normal,2001,2001,,,PWSSC,,,
Dick Thorne,Replied,CTD Dataset,fish,317,Normal,2001,2001,,,PWSSC,,,
Dick Thorne,Emailed,surveys,habitat,532,Normal,2004,2004,,,PWSSC,,,
Dick Thorne,Replied,Project Data,fish,534,Normal,2007,2007,,,PWSSC,,,
Don Calkins,Emailed,no report,mammals,903,Normal,1989,1989,,,Alaska SeaLife Center,,,
Don Calkins,Emailed,Stellar sea lion injury - hydrocarbon DB,mammals,1441,Normal,1989,1992,,,Alaska SeaLife Center,,,
Don Dragoo,Unrecoverable,Chiswell Islands - Leslie sent fil reports,marineBirds,515,Normal,1992,1992,,non digital,AMNWR,,,
Don Dragoo,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,515,Normal,1992,1992,,non digital,AMNWR,,,
Dold Schell,Emailed,Project Data,mammals,824,Normal,1999,2001,,,UAF,,,
Dold Schell,Replied,Project Data,fish,822,High,1996,1998,,,UAF,,,
Doroff,Published,,oceanography,,,2001,2013,oceanography,,KBRR (state),,,
Douglas Wolfe,Unrecoverable,project data,oil,935,Normal,2004,2006,,no contact info,NOAA,,,
Edmundson,Published,,fish,,,1989,1998,,,NOAA,,,
Edmundson,Published,,oceanography,,,1986,1996,oceanography,,NOAA,,,
Edmundson,Published,,oceanography,,,1984,1998,plankton,,NOAA,,,
Edward Mills,Emailed,Data - no report,anthropogenic,1028,Normal,1989,1991,,,Cornell Univ.,,,
Ephim Ahok,Emailed,225 - Dataset,fish,1219,Normal,1996,1999,,,Chugachmiut,,,
