PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes
Gail Irvine,Replied,Project Data,oil,583,Normal,1999,1999,NA,NA,USGS,marine,chemical,
Gail Irvine,Replied,Project Data,inverts,585,Normal,1991,1991,NA,NA,USGS,marine,biological-benthicInverts,
Gail Irvine,Replied,Project Data,habitat,587,Normal,2004,2004,NA,NA,USGS,marine,ecosystem/habitat,
Kelly Hepler,Unrecoverable,Project Data,fish,590,Normal,1989,1992,NA,data lost,ADFG,marine,biological-fish,
Andrew Hoffman,Replied,Project Data,fish,592,Normal,1989,1992,NA,NA,ADFG,marine,biological-fish,
Lisa Hutchinson-Scarbrough,Unrecoverable,Project Data - data in reports,fish,596,Normal,1997,2002,NA,non digital,ADFG,marine,biological-fish,
Gary Kompkoff,Unrecoverable,Project Data - no info,fish,599,Normal,1995,2000,NA,no contact info,ADFG,marine,biological-fish,
Dan Mann,Emailed,Project Data,fish,603,Normal,2002,2004,NA,NA,UAF,marine,biological-fish,
Jim Bodkin,Replied,Sea otter aerial surveys,fish,605,High,1999,2003,NA,NA,USGS,marine,biological-fish,
Jim Bodkin,Replied,Harlequin ducks,fish,605,Normal,1999,2003,NA,NA,USGS,marine,biological-fish,
Jim Bodkin,Replied,Project Data - check with Brenda Ballachey,habitat,608,High,2003,2010,NA,NA,USGS,marine,ecosystem/habitat,
Da Schmidt,Emailed,Kei Peninsula Data,fish,610,Normal,1990,1997,NA,NA,ADFG,marine,biological-fish,
Da Schmidt,Unrecoverable,kodiak hydroacoustic + townet surveys of juvenile salmon,fish,610,Normal,1990,1997,NA,data uvailable,ADFG,marine,biological-fish,
Jim Bodkin,Replied,Project Data - check with Brenda Ballachey,mammals,611,High,2004,2004,NA,NA,USGS,marine,biological-mammals,
Betsy Parry,Replied,Project Data - no info,terrestrial,614,Normal,1995,1995,NA,NA,ADFG,terrestrial/freshWater,biological-benthicInverts,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,617,High,2007,2010,NA,NA,USGS,marine,biological-mammals,
