PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes,project
Greg Ruggerone,Replied,project data,fish,772,Normal,1996,1996,NA,NA,PWSAC,marine,biological-fish,,Replied-772
Ken Hodges,Unrecoverable,project data - origils lost,fish,773,Normal,1996,1998,NA,data lost,USFS,marine,biological-fish,,Unrecoverable-773
Karen Murphy,Replied,dataset,modeling,776,Normal,1998,2000,NA,NA,USFWS,marine,modeling,,Replied-776
Buddy Goatcher,Replied,"sampling locations, morphological measures, and banding data",marineBirds,778,Normal,1996,1998,NA,NA,Environmental Laboratory,marine,biological-birds,,Replied-778
Tuula Holmen,Replied,project data,marineBirds,779,Normal,2008,2011,NA,NA,UAF,marine,biological-birds,,Replied-779
Joanne Jellett,Unrecoverable,project data -origils lost,inverts,785,Normal,2000,2003,NA,data lost,Jellett Biotek Limited,marine,biological-benthicInverts,,Unrecoverable-785
Lisa Seeb,Replied,Project Data at ADF&G -  follow-up bill templin,fish,786,Normal,1998,1999,NA,NA,UW,marine,biological-fish,,Replied-786
Lisa Rotterman,Replied,project data,mammals,788,Normal,1992,1992,NA,NA,NOAA,marine,biological-mammals,,Replied-788
Lisa Seeb,Replied,Project Data at ADF&G - follow-up with Bill Templin,fish,789,Normal,1992,1994,NA,NA,UW,marine,biological-fish,,Replied-789
Merav Ben-David,Unrecoverable,project data - refused,terrestrial,797,Normal,1998,2000,NA,requested funding,University of Wyming,terrestrial/freshWater,biological-mammals,,Unrecoverable-797
Graham Worthy,Unrecoverable,project data - origils lost,fish,798,Normal,1995,1995,NA,data lost,University of Central Florida,marine,biological-fish,,Unrecoverable-798
Catherine Berg,Unrecoverable,dataset - Originals lost,marineBirds,799,Normal,1992,1992,NA,data lost,DOI,marine,biological-birds,,Unrecoverable-799
Ted Otis,Replied,Follow-up with Ted about locating data,fish,803,Normal,1999,2001,NA,NA,ADFG,marine,biological-fish,,Replied-803
Vernon Byrd,Unrecoverable,No info,terrestrial,805,Normal,1994,1994,NA,no contact info,ANMWR,terrestrial/freshWater,biological-birds,,Unrecoverable-805
Nora Foster,Unrecoverable,project data - origils lost,inverts,809,Normal,2002,2003,NA,data lost,UAF,marine,biological-benthicInverts,,Unrecoverable-809
John Whitney,Replied,project data,habitat,811,Normal,1999,1999,NA,NA,NOAA,marine,biological-habitat,,Replied-811
Dan Esler,Replied,data is with EVOSTC,marineBirds,812,Normal,1999,2000,NA,NA,EVOS,marine,biological-birds,,Replied-812
Dan Esler,Replied,data is with EVOSTC,marineBirds,815,Normal,2011,2011,NA,NA,EVOS,marine,biological-birds,,Replied-815
Mike Gracz,Emailed,Project Data - follow-up with Will Schlein,mapping,816,Normal,2003,2003,NA,NA,Cook Inletkeeper,marine,biological-habitat,,Emailed-816
Alex Wertheimer,Emailed,project data follow-up,fish,818,Normal,1995,1998,NA,NA,NOAA,marine,biological-fish,,Emailed-818
Alex Wertheimer,Emailed,hydrocarbon DB,fish,820,Normal,1989,1992,NA,NA,NOAA,marine,biological-fish,,Emailed-820
Dold Schell,Replied,Project Data,fish,822,High,1996,1998,NA,NA,UAF,marine,biological-fish,,Replied-822
Dold Schell,Emailed,Project Data,mammals,824,Normal,1999,2001,NA,NA,UAF,marine,biological-mammals,,Emailed-824
Jeff Olsen,Replied,Release numbers in fil report,fish,828,Normal,1994,1994,NA,NA,PWSAC,marine,biological-fish,,Replied-828
Glenn Ford,Published,hydrocarbon database + no fil report,marineBirds,836,Normal,1989,1991,NA,NA,Ecological Consulting,marine,biological-birds,,Published-836
Dan Moore,Unrecoverable,"no fil report, no info",fish,843,Normal,1994,1994,NA,no contact info,USGS,marine,biological-fish,,Unrecoverable-843
Jennifer Nielsen,Replied,follow-up with Philip,fish,845,High,2000,2002,NA,NA,USGS,marine,biological-fish,,Replied-845
Walter Megack,Emailed,Follow-up with Walter,fish,847,Normal,1997,2000,NA,NA,Port Graham,marine,biological-fish,,Emailed-847
Keith Miles,Emailed,with USGS otter data?,mammals,855,Normal,2009,2009,NA,NA,USGS,marine,biological-mammals,,Emailed-855
Lindsey Hayes,Replied,Ask David Irons,marineBirds,859,Normal,1994,1994,NA,NA,USFWS,marine,biological-birds,,Replied-859
Evelyn Brown,Emailed,subject to data policy,fish,872,Normal,2002,2003,NA,NA,ADFG/independent,marine,biological-fish,,Emailed-872
Brad Andres,SentData,hydrocarbon database,marineBirds,882,Normal,1992,1992,NA,NA,USFWS,marine,biological-birds,,SentData-882
Brad Andres,SentData,hydrocarbon database,marineBirds,884,Normal,1994,1994,NA,NA,USFWS,marine,biological-birds,,SentData-884
Brad Andres,SentData,hydrocarbon database,marineBirds,885,Normal,1989,1992,NA,NA,USFWS,marine,biological-birds,,SentData-885
John Whitney,Replied,project data,habitat,890,Normal,2002,2002,NA,NA,NOAA,marine,biological-habitat,,Replied-890
Carl Schoch,Replied,project data,habitat,892,Normal,2003,2004,NA,NA,PWSSC,marine,biological-habitat,,Replied-892
Don Calkins,Emailed,no report,mammals,903,Normal,1989,1989,NA,NA,Alaska SeaLife Center,marine,biological-mammals,,Emailed-903
Not Available,Unrecoverable,no info or report,marineBirds,905,Normal,1989,1989,NA,no contact info,NA,marine,biological-birds,,Unrecoverable-905
Not Available,Unrecoverable,no info or report,anthropogenic,907,Normal,1989,1991,NA,no contact info,NA,NA,social,,Unrecoverable-907
Charlie Trowbridge,Published,hydrocarbon database,inverts,914,Normal,1989,1992,NA,NA,ADFG,marine,biological-benthicInverts,,Published-914
Charlie Trowbridge,Published,hydrocarbon database,inverts,916,Normal,1989,1992,NA,NA,ADFG,marine,biological-benthicInverts,,Published-916
Joan Braddock,Unrecoverable,project data - origils lost,oil,918,Normal,1995,1997,NA,non digital,UAF,marine,oil,,Unrecoverable-918
Mark Udevitz,Replied,dataset,mammals,920,Normal,1993,1993,NA,NA,USGS,marine,biological-mammals,,Replied-920
Asit Mazumder,Replied,project data,terrestrial,923,Normal,2003,2003,NA,NA,U. Vic,terrestrial/freshWater,physical,,Replied-923
Jim Gibeaut,Emailed,project data,oil,928,Normal,1993,1993,NA,NA,Texas A&M,marine,oil,,Emailed-928
Jim Gibeaut,Emailed,project data,oil,929,Normal,1995,1996,NA,NA,Texas A&M,marine,oil,,Emailed-929
Kathrin Sundet,Replied,project data,habitat,932,Normal,1992,1993,NA,NA,ADFG,marine,biological-habitat,,Replied-932
James Faro,Unrecoverable,project data,oil,933,Normal,1992,1992,NA,data lost,ADFG,marine,oil,,Unrecoverable-933
James Faro,Unrecoverable,project data,terrestrial,934,Normal,1989,1992,NA,data lost,ADFG,terrestrial/freshWater,biological-mammals,,Unrecoverable-934
Douglas Wolfe,Unrecoverable,project data,oil,935,Normal,2004,2006,NA,no contact info,NOAA,marine,oil,,Unrecoverable-935
Robert Olson,Unrecoverable,project data,habitat,936,Normal,1995,1995,NA,no contact info,USGS,marine,biological-habitat,,Unrecoverable-936
Art Weiner,Unrecoverable,project data,habitat,937,Normal,1993,1995,NA,no contact info,ADNR,marine,biological-habitat,,Unrecoverable-937
Jack Anderson,Unrecoverable,project data,oil,938,Normal,1996,1996,NA,no contact info,Columbia analysitcal services,marine,oil,,Unrecoverable-938
